Date,Close,Company,News_Headlines,Sentiment_Score
2025/5/28,200.42,AAPL,Trump's Apple Beef Isn't Just About India-Made iPhones?It's Also About Skipped Middle East Trip: Report,0.3
2025/5/27,200.21,AAPL,Famous Investor Suggests That Apple (AAPL) Is Not a Buy,0.25
2025/5/23,195.27,AAPL,Columbia Balanced Fund Q1 2025 Commentary,0.5
2025/5/22,201.36,AAPL,Apple Inc. (AAPL) Partners with Emory Healthcare to Power First U.S. Hospital with Its Devices,0.8897
2025/5/21,202.09,AAPL,Bond Yields Break The Bull,0.1762
2025/5/20,206.86,AAPL,Epic Games' Fortnite returns to Apple App Store in US after nearly 5 years,0.9218
2025/5/19,208.78,AAPL,Tracking David Tepper's Appaloosa Management Portfolio - Q1 2025 Update,0.5
2025/5/16,211.26,AAPL,"This Artificial Intelligence (AI) Chip Stock Is Making a Big Move, and It Has the Potential to Soar Higher",0.8418
2025/5/15,211.45,AAPL,BlackRock Capital Appreciation V.I. Fund Q1 2025 Commentary,0.5
2025/5/14,212.33,AAPL,"Japan moves to ban Google, Apple from blocking app store competitors",0.1068
2025/5/13,212.93,AAPL,"Foxconn profit surges on AI demand, but more conservative on 2025 outlook",0.7681
2025/5/12,210.79,AAPL,"Dow Jones Futures: Trump Trade Deal Triggers Bullish Stock Market Rally; Amazon, Apple, Nvidia, Tesla Surge",0.8
2025/5/9,198.53,AAPL,Apple Inc. (AAPL): Among Billionaire Bruce Berkowitz Stock Picks with Highest Upside Potential,0.896
2025/5/8,197.49,AAPL,Apple Inc. (AAPL)?AI Innovation Key to Sustained Market Leadership,0.9255
2025/5/7,196.25,AAPL,Hartford Growth Opportunities Fund Q1 2025 Commentary,0.5
2025/5/6,198.51,AAPL,Apple Growth Story Remains Muted,0.3
2025/5/5,198.89,AAPL,Apple Inc. (AAPL) Maintains Overweight?Morgan Stanley Highlights?0-Year High Margins?and Services Growth,0.8
2025/5/2,205.35,AAPL,"Earnings Remain Resilient, but Outlook Softens",0.3552
2025/5/1,213.32,AAPL,"Dow Jones Futures Rise As China Says It's 'Evaluating' U.S. Trade Talks. Amazon, Apple Fall On Earnings.",0.1289
2025/4/30,212.5,AAPL,Franklin Global Equity Fund Q1 2025 Commentary,0.5
2025/4/29,211.21,AAPL,Qualcomm stock has outperformed the chip sector this year. Earnings will be a key test.,0.7678
2025/4/28,210.14,AAPL,Jim Cramer on Apple Inc. (AAPL): China Risks Create a Chess Game for Investors,0.35
2025/4/25,209.28,AAPL,"Pope Francis Modernized the Vatican Investment Program, With Some Caveats",0.5873
2025/4/24,208.37,AAPL,T-Mobile CEO: Tariffs on phones will have to be eaten by consumers,0.2333
2025/4/23,204.6,AAPL,Is Apple Inc.(AAPL) the Best Stock to Buy and Hold for 20 Years?,0.65
2025/4/22,199.74,AAPL,"Apple fans spent $1,199 on an iPhone?Bitcoin buyers turned it into a MacBook",0.5
2025/4/21,193.16,AAPL,"Dow Jones Futures Rise: Trump Calls Powell 'Loser'; Apple, Nvidia, Tesla Sell Off",0.0859
2025/4/17,196.98,AAPL,Apple's China smartphone shipments slide 9% in first quarter,0.0129
2025/4/16,194.27,AAPL,"Meta Saw TikTok as ighly Urgent?Threat, Zuckerberg Says at Antitrust Trial",0.35
2025/4/15,202.14,AAPL,Here's Why Apple (AAPL) Fell More Than Broader Market,0.0316
2025/4/14,202.52,AAPL,Nvidia Made-in-the-U.S.A. Move Follows a Familiar Trump Pattern,0.5
2025/4/11,198.15,AAPL,"Apple Stock Resilience Means This Is an Opportunity, Says BofA. Plus, Meta, Occidental, and More.",0.8881
2025/4/10,190.42,AAPL,Jim Cramer on Apple Inc. (AAPL): Can Tariffs Derail the iPhone Giant Global Dominance?,0.2064
2025/4/9,198.85,AAPL,Apple stock surges on tariff pause despite China exclusion,0.661
2025/4/8,172.42,AAPL,Apple Loses Title of World's Most Valuable Company as China Tariffs Loom,0.0911
2025/4/7,181.46,AAPL,More Jittery Than A Pigeon In A Ping-Pong Room,0.5
2025/4/4,188.38,AAPL,Apple (AAPL) Labeled nderweight?Over Undefined AI Strategy and China Market Declines,0.1268
2025/4/3,203.19,AAPL,Top 50 High-Quality Dividend Growth Stocks For April 2025,0.6985
2025/4/2,223.89,AAPL,"Apple Production Hubs Hit by Tariffs, Sending Shares Plummeting",0.0156
